score,flags,address,borough,zip,units,year_built,bldg_class,owner,per_door,market_value,value_basis,assessed_value_est,last_sale_price,last_sale_date,under_70k_door,low_rate_mtge_date,low_rate_mtge_amt,est_maturity_10yr,months_to_maturity,maturing_soon,lender,bbl,acris_mortgage_url,acris_parcel_url,pluto_url,lat,lon
22.7,est. already matured; satisfaction recorded since,2665 VALENTINE AVENUE,Bronx,10458,41,1923,C7,"2665 VALENTINE, INC.",57976,2377000,assessed/0.45,2377000,,,True,2011-06-24,890588.0,2021-06-24,-61,False,NYC DEPARTMENT OF HOUSING PRESERVATION & DEVELOPME,2033040069,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2011063000252001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3304&lot=69,https://zola.planning.nyc.gov/l/lot/2/3304/69,40.8659182,-73.8932430
22.7,no low-rate-era mortgage found,1674 BOSTON ROAD,Bronx,10460,21,1912,C1,CROTONA PARK HOUSING L.P.,34714,729000,assessed/0.45,729000,,,True,,,,,False,,2029780179,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2978&lot=179,https://zola.planning.nyc.gov/l/lot/2/2978/179,40.8363016,-73.8889828
22.7,no low-rate-era mortgage found,2479 UNIVERSITY AVENUE,Bronx,10468,21,1916,C1,ERCAT REALTY CORP.,34619,727000,assessed/0.45,727000,,,True,,,,,False,,2032190197,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3219&lot=197,https://zola.planning.nyc.gov/l/lot/2/3219/197,40.8650685,-73.9038736
22.7,maturing soon (est.),900 EAST 18 STREET,Brooklyn,11230,22,1927,C1,900 E. 18TH ST. LLC,58045,1277000,assessed/0.45,1277000,,,True,2020-12-04,305720.6,2030-12-04,53,True,"ORIX REAL ESTATE CAPITAL, LLC",3067010068,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021010700485005,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=6701&lot=68,https://zola.planning.nyc.gov/l/lot/3/6701/68,40.6287704,-73.9593915
22.7,no low-rate-era mortgage found,214 MAC DOUGAL STREET,Brooklyn,11233,20,1928,C1,MSM 404 DEVELOPMENT,34700,694000,assessed/0.45,694000,,,True,,,,,False,,3015330030,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=1533&lot=30,https://zola.planning.nyc.gov/l/lot/3/1533/30,40.6799340,-73.9119317
22.7,maturing soon (est.),5315 15 AVENUE,Brooklyn,11219,43,1931,C1,KIR PROPERTIES,58023,2495000,assessed/0.45,2495000,,,True,2021-03-22,1419806.91,2031-03-22,56,True,NEW YORK COMMUNITY BANK,3054770002,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021040100537003,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=5477&lot=2,https://zola.planning.nyc.gov/l/lot/3/5477/2,40.6297625,-73.9900134
22.7,maturing soon (est.),37-31 CRESCENT STREET,Queens,11101,30,1931,C1,KINGDOM CRESCENT REALTY LLC,57967,1739000,assessed/0.45,1739000,,,True,2021-09-22,757138.2,2031-09-22,62,True,DIME SAVINGS BANK OF WILLIAMSBURGH,4003680006,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021092200643001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=4&block=368&lot=6,https://zola.planning.nyc.gov/l/lot/4/368/6,40.7560013,-73.9351484
22.6,est. already matured,565 ACADEMY STREET,Manhattan,10034,26,1925,C1,RIVULET ROW ASSOCIATES LLC,58231,1514000,assessed/0.45,1514000,,,True,2013-06-27,848488.0,2023-06-27,-37,False,"ENTERPRISE COMMUNITY LOAN FUND, INC",1022180054,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2013070201297007,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=1&block=2218&lot=54,https://zola.planning.nyc.gov/l/lot/1/2218/54,40.8632876,-73.9226975
22.6,maturing soon (est.),234 BRADHURST AVENUE,Manhattan,10039,25,1910,C4,CENTRAL HARLEM MUTUAL HOUSING ASSOC HOUS ING DEVE FUND CRP.,58160,1454000,assessed/0.45,1454000,,,True,2021-04-20,5234756.0,2031-04-20,57,True,CPC FUNDING SPE 1 LLC,1020470020,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021042800351004,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=1&block=2047&lot=20,https://zola.planning.nyc.gov/l/lot/1/2047/20,40.8287222,-73.9388608
22.6,est. already matured,507 WEST 158 STREET,Manhattan,10032,20,1905,C1,NEW YORK EQUITY FUND 2004 LLC,58150,1163000,assessed/0.45,1163000,,,True,2013-05-21,303405.0,2023-05-21,-38,False,DEPARTMENT OF HOUSING PRESERVATION & DEVELOPMENT,1021170044,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2013052201353001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=1&block=2117&lot=44,https://zola.planning.nyc.gov/l/lot/1/2117/44,40.8339773,-73.9421517
22.6,bulk-sale price ignored; maturing soon (est.),342 LENOX AVENUE,Manhattan,10027,28,1909,C7,"HPH MILANO, LLC",58143,1628000,"assessed/0.45 (sale $20,160,000 looks like bulk)",1628000,20160000,2019-12-20,True,2019-12-20,19708904.57,2029-12-20,41,True,NEW YORK COMMUNITY BANK,1017250002,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2019122600391044,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=1&block=1725&lot=2,https://zola.planning.nyc.gov/l/lot/1/1725/2,40.8091330,-73.9440156
22.6,maturing soon (est.),936 REV JAMES POLITE AVE,Bronx,10459,47,1925,C1,936 TYH RM BRONX LLC,58234,2737000,assessed/0.45,2737000,,,True,2021-12-09,1792225.47,2031-12-09,65,True,"ARBOR COMMERCIAL FUNDING I, LLC",2026980084,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021122001213004,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=2698&lot=84,https://zola.planning.nyc.gov/l/lot/2/2698/84,40.8216729,-73.8986866
22.6,maturing soon (est.),150 WEST 195 STREET,Bronx,10468,30,1927,C1,RRACI REALTY CORP,58233,1747000,assessed/0.45,1747000,,,True,2020-04-07,761303.76,2030-04-07,45,True,"SANTANDER BANK, N.A.",2032480163,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020043000349002,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3248&lot=163,https://zola.planning.nyc.gov/l/lot/2/3248/163,40.8702709,-73.9021233
22.6,maturing soon (est.),225 EAST 202 STREET,Bronx,10458,43,1927,C1,202 STREET LLC,58116,2499000,assessed/0.45,2499000,,,True,2021-09-20,392254.42,2031-09-20,62,True,FIRST REPUBLIC BANK,2033080030,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2021092900637002,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3308&lot=30,https://zola.planning.nyc.gov/l/lot/2/3308/30,40.8732752,-73.8858440
22.6,no low-rate-era mortgage found,2483 UNIVERSITY AVENUE,Bronx,10468,21,1916,C1,ERCAT REALTY CORP.,34905,733000,assessed/0.45,733000,,,True,,,,,False,,2032190195,,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3219&lot=195,https://zola.planning.nyc.gov/l/lot/2/3219/195,40.8651919,-73.9037975
22.6,est. already matured; financed/sold since (may be refinanced),1472 BEACH AVENUE,Bronx,10460,30,1930,C1,BORINQUEN RLTY LLC,34867,1046000,assessed/0.45,1046000,,,True,2013-06-13,1875000.0,2023-06-13,-37,False,"BANKUNITED, NA",2038990028,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2013061700669001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=2&block=3899&lot=28,https://zola.planning.nyc.gov/l/lot/2/3899/28,40.8372059,-73.8669329
22.6,maturing soon (est.),5801 14 AVENUE,Brooklyn,11219,46,1927,C1,5801 14TH AVE. LLC,58217,2678000,assessed/0.45,2678000,,,True,2020-10-15,50382.88,2030-10-15,51,True,NEW YORK COMMUNITY BANK,3057060005,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020102100265002,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=5706&lot=5,https://zola.planning.nyc.gov/l/lot/3/5706/5,40.6283081,-73.9951113
22.6,maturing soon (est.),1172 PRESIDENT STREET,Brooklyn,11225,20,1916,C1,1172 PRESIDENT STREET REALTY CORPORATION,58150,1163000,assessed/0.45,1163000,,,True,2020-03-02,750000.0,2030-03-02,44,True,M&T BANK,3012820029,https://a836-acris.nyc.gov/DS/DocumentSearch/DocumentDetail?doc_id=2020030500206001,https://a836-acris.nyc.gov/bblsearch/bblsearch.asp?borough=3&block=1282&lot=29,https://zola.planning.nyc.gov/l/lot/3/1282/29,40.6678642,-73.9518086
